session,predictor,duration_s,t0,crse_m,cae_m,abs_cae_m,aeps_m,final_pos_err_m,max_pos_err_m,true_distance_m
S-A5,constant_velocity_dr,10.0,70.023,19.949158493417126,-16.332078822581437,16.332078822581437,1.9126393448665766,19.949158493417126,21.426762188629215,94.23207882258143
S-A5,constant_velocity_dr,10.0,80.023,36.48873802237677,-8.916661895356611,8.916661895356611,2.0275780798824115,36.48873802237677,36.48873802237677,94.81666189535662
S-A5,constant_velocity_dr,10.0,90.023,3.864091774209337,-0.8431990763531694,0.8431990763531694,0.9631918291217121,3.864091774209337,5.25371783631475,87.74319907635316
S-A5,constant_velocity_dr,10.0,100.023,44.094851787265895,-24.90200706947097,24.90200706947097,4.5858063709558845,44.094851787265895,44.094851787265895,108.80200706947097
S-A5,constant_velocity_dr,10.0,110.023,100.55465722401824,-94.62778270601093,94.62778270601093,9.462778270601094,100.55465722401824,100.55465722401824,223.72778270601094
S-A5,constant_velocity_dr,10.0,120.023,27.074607825533917,-18.33051001149764,18.33051001149764,4.046991139220535,27.074607825533917,27.074607825533917,228.53051001149763
S-A5,constant_velocity_dr,10.0,130.023,9.240172540391702,2.0293261133376355,2.0293261133376355,3.928966485286363,9.240172540391702,26.852321526106817,229.8706738866624
S-A5,constant_velocity_dr,10.0,140.023,25.18882555132804,-25.443191762762055,25.443191762762055,4.841839649204765,25.18882555132804,25.593829294473462,267.2431917627621
S-A5,constant_velocity_dr,10.0,150.023,41.317502197537785,17.656296626633573,17.656296626633573,3.063046907157115,41.317502197537785,41.317502197537785,249.0437033733664
S-A5,constant_velocity_dr,10.0,160.023,3.257200171727485,-4.463741540422614,4.463741540422614,3.7960931917405376,3.257200171727485,9.900228838304276,264.76374154042264
S-A5,constant_velocity_dr,10.0,170.023,6.688752126587619,-6.986052389302277,6.986052389302277,1.3973504797551353,6.688752126587619,7.257553909113835,261.28605238930226
S-A5,constant_velocity_dr,10.0,180.023,7.372219524800409,-0.9529958951446496,0.9529958951446496,0.4869316093855428,7.372219524800409,7.372219524800409,262.35299589514466
S-A5,constant_velocity_dr,10.0,190.023,18.900346184720142,13.520871580412837,13.520871580412837,1.4453839980384608,18.900346184720142,20.317897826615113,249.77912841958715
S-A5,constant_velocity_dr,10.0,200.023,13.190865013122362,-11.57066348959296,11.57066348959296,1.2903434555335493,13.190865013122362,14.059186312162275,270.470663489593
S-A5,constant_velocity_dr,10.0,210.023,38.74269875374142,8.866093990692207,8.866093990692207,1.1238593634830558,38.74269875374142,38.74269875374142,256.2339060093078
S-A5,constant_velocity_dr,10.0,220.023,21.66506947335042,21.46519422759068,21.46519422759068,2.146519422759068,21.66506947335042,21.66506947335042,234.33480577240928
S-A5,constant_velocity_dr,10.0,230.023,17.565525667422435,17.313578799063723,17.313578799063723,1.7455352611188164,17.565525667422435,17.565525667422435,205.98642120093626
S-A5,constant_velocity_dr,10.0,240.023,1.8927262964515275,0.9555067537755733,0.9555067537755733,0.7977913086711667,1.8927262964515275,3.7365088793770127,212.94449324622445
S-A5,constant_velocity_dr,10.0,250.023,2.8725623105996005,-0.4736900675804243,0.4736900675804243,0.43531107467824237,2.8725623105996005,2.8725623105996005,216.47369006758043
S-A5,constant_velocity_dr,10.0,260.023,5.858776668403659,4.730648180289776,4.730648180289776,1.0556845542694695,5.858776668403659,5.858776668403659,210.8693518197102
S-A5,constant_velocity_dr,10.0,270.023,13.305468676281201,0.3278261989198299,0.3278261989198299,0.8562009588674868,13.305468676281201,13.305468676281201,213.47217380108015
S-A5,constant_velocity_dr,10.0,280.023,20.009391824539094,-5.211241800637129,5.211241800637129,1.2650535589306446,20.009391824539094,20.009391824539094,219.31124180063716
S-A5,constant_velocity_dr,10.0,290.023,9.961958224370807,8.615019696796203,8.615019696796203,2.36579443681169,9.961958224370807,14.046559627064395,196.4849803032038
S-A5,constant_velocity_dr,10.0,300.023,17.381458904083054,-18.034247622478887,18.034247622478887,3.291591758686711,17.381458904083054,21.893278441832692,219.3342476224789
S-A5,constant_velocity_dr,10.0,310.023,25.408866682402895,-16.61873038093364,16.61873038093364,3.3409083927023744,25.408866682402895,25.85083055278411,225.31873038093363
S-A5,constant_velocity_dr,10.0,320.023,8.681833223371266,-1.0729082737464033,1.0729082737464033,1.2022407253850869,8.681833223371266,8.681833223371266,213.37290827374642
S-A5,constant_velocity_dr,10.0,330.023,3.0629100211165428,1.726600335014762,1.726600335014762,1.1107478793166206,3.0629100211165428,3.98190453308594,214.47339966498524
S-A5,constant_velocity_dr,10.0,340.023,9.059053880451481,8.678350354336072,8.678350354336072,1.8047829247826872,9.059053880451481,12.172537913380049,200.52164964566396
S-A5,constant_velocity_dr,10.0,350.023,18.620579186771177,18.106179988466966,18.106179988466966,2.2916503205900325,18.620579186771177,18.620579186771177,183.89382001153302
S-A5,constant_velocity_dr,10.0,360.023,7.316597523240983,-4.629335332361162,4.629335332361162,1.7284977875279974,7.316597523240983,11.441158253255614,192.2293353323612
S-A5,constant_velocity_dr,10.0,370.023,0.9676584371077326,-0.3631506550252066,0.3631506550252066,2.254404162789043,0.9676584371077326,11.394072225794805,181.7631506550252
S-A5,constant_velocity_dr,10.0,380.023,10.120889219841489,-9.973047949619708,9.973047949619708,1.571910763701388,10.120889219841489,10.120889219841489,189.37304794961975
S-A5,constant_velocity_dr,10.0,390.023,2.1498970969178335,-1.0041127611128324,1.0041127611128324,1.965993334420317,2.1498970969178335,10.173207060661811,190.60411276111282
S-A5,constant_velocity_dr,10.0,400.023,13.685285484313793,11.751586069562348,11.751586069562348,2.381067722197272,13.685285484313793,13.685285484313793,183.94841393043765
S-A5,constant_velocity_dr,10.0,410.023,5.038054215770482,4.2977742414986615,4.2977742414986615,1.508524873646584,5.038054215770482,5.772125897385631,192.20222575850133
S-A5,constant_velocity_dr,10.0,420.023,7.921314465544268,-1.09389128915919,1.09389128915919,1.461872580741781,7.921314465544268,7.921314465544268,202.19389128915918
S-A5,constant_velocity_dr,10.0,430.023,9.875167788547904,-0.7297640570340462,0.7297640570340462,2.762254144325676,9.875167788547904,9.875167788547904,206.12976405703404
S-A5,constant_velocity_dr,10.0,440.023,9.124901402856612,7.503549213744929,7.503549213744929,2.312922985439309,9.124901402856612,11.949035415606755,194.09645078625508
S-A5,constant_velocity_dr,10.0,450.023,8.63761114963986,4.068944292676488,4.068944292676488,3.4559185383249966,8.63761114963986,11.269023299530028,194.5310557073235
S-A5,constant_velocity_dr,10.0,460.023,6.678458729468651,-7.114759482504754,7.114759482504754,2.6354752935446695,6.678458729468651,11.288232863429407,199.71475948250477
S-A5,constant_velocity_dr,10.0,470.023,3.6455817628400586,-0.7936223298445526,0.7936223298445526,1.3047745511112878,3.6455817628400586,6.333461797649917,190.19362232984457
